"delta","nu","sigma","train_accuracy","train_log_loss","train_calibration","validation_accuracy","validation_log_loss","validation_calibration","test_accuracy","test_log_loss","test_calibration"
150,1,0.05,0.627090944049221,0.674383249611038,0.898139199727128,0.608330149025602,0.697784532525759,0.998426126415748,0.590695856137608,0.708533361737318,0.958567291926655
150,1,0.1,0.577629302057297,1.05572655852493,0.860507438146064,0.579671379442109,1.03152666486898,1.00305812885111,0.585613760750586,0.978522126006583,0.955687491951641
150,1,0.15,0.550999807729283,2.03069228220666,0.818061753870502,0.566297286969813,1.910898974878,1.00644276106362,0.560203283815481,1.73681880678896,0.954701956118412
150,1,0.2,0.551095943087868,Inf,0.821230045184035,0.562094000764234,Inf,1.02239334435283,0.565676309616888,Inf,0.95841104347286
150,3,0.05,0.627667756200731,0.674645996204971,0.898995331936201,0.609858616736721,0.698472592221628,0.999503374216348,0.591086786551994,0.708989625628717,0.959219337122948
150,3,0.1,0.578254181888098,1.05985900088018,0.861905403373052,0.581581964081009,1.03770815771782,1.00446490524059,0.585613760750586,0.983121315940979,0.95650457823728
150,3,0.15,0.551672755239377,2.04642694572001,0.818564003469058,0.564004585403133,1.93393723275117,1.00720417869074,0.560985144644253,1.75678943174436,0.9530082191064
150,3,0.2,0.552778311863103,Inf,0.813147175944753,0.561329766908674,Inf,1.00995935622539,0.563330727130571,Inf,0.953351366457958
150,5,0.05,0.628388771390117,0.674932246484909,0.899824004941493,0.611004967520061,0.69918382289387,1.00054496110642,0.592650508209539,0.709463600526169,0.959852711660545
150,5,0.1,0.579119400115362,1.06410627512496,0.863247386208153,0.582346197936569,1.04396207127244,1.00581968731549,0.584831899921814,0.98782987778687,0.957315127867346
